,bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
0,2,2,1050.0,Unfurnished,All,"Sadguru hights, Pingale Wasti, , Pune, Maharashtra",5,West,Marble,Yes,No,0,None,None,11,2,0,2,5 to 10 Year Old,1,0,0,0,0,0,0,0,3,0.0,19546.0
1,2,2,760.0,Unfurnished,All,"Manav Silver Springs, Wagholi, , Pune, Maharashtra",5,East,Vitrified,Yes,Yes,2,None,None,11,1,0,2,1 to 5 Year Old,1,0,0,0,0,0,0,0,40000,0.0,13060.0
2,3,3,0.0,Semifurnished,All,"Saarrthi Souvenir, Mahalunge, , Pune, Maharashtra",1,South-West,Vitrified,Yes,No,1,None,None,11,1,0,2,1 to 5 Year Old,0,0,0,1,0,0,Maintenance 1/ (/ month,23000,60000,1.0,22442.0
3,1,1,628.0,Furnished,Family Only,"Dhan Residency, Wanowrie, , Pune, Maharashtra",3,East,Mosaic,Yes,No,1,None,None,11,1,0,0,10+ Year Old,1,0,0,0,0,0,0,0,40000,0.0,11557.0
4,2,2,668.0,Semifurnished,"Family , Bachelors (Men Only)","Saptsiddhi Savali Homes, Uruli Devachi, , Pune, Maharashtra",6,South,Polished concrete,Yes,Yes,1,None,None,12,1,1,1,1 to 5 Year Old,1,0,0,0,0,0,0,0,20,0.0,7604.0
5,2,2,950.0,Semifurnished,Family Only,"Vimal Apartment, Baner, , Pune, Maharashtra",1,No Direction,Ceramic,No,No,1,None,None,11,1,1,2,1 to 5 Year Old,1,0,0,0,0,0,0,0,50000,0.0,18215.0
6,3,3,1530.0,Semifurnished,Family Only,"Atul Westernhills, Baner-Sus, , Pune, Maharashtra",2,East,Vitrified,Yes,No,2,Yes,Yes,11,1,0,2,1 to 5 Year Old,0,1,0,0,0,0,0,28000,3,0.0,48498.0
7,2,2,900.0,Unfurnished,All,"SRK Herambh, Pashan-Sus Road, , Pune, Maharashtra",1,No Direction,Not provided,No,No,1,None,None,0,0,1,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,36000,0.0,17204.0
8,3,3,0.0,Semifurnished,Family Only,"Tuscan Estate Signature Meadows, Kharadi, , Pune, Maharashtra",7,North,Not provided,Yes,No,1,None,None,0,0,0,0,1 to 5 Year Old,0,0,0,1,1,0,0,36000,200000,0.0,41182.0
9,3,3,1400.0,Unfurnished,All,"Magarpatta City Roystonea, Magarpatta, , Pune, Maharashtra",2,North-West,Vitrified,Yes,No,1,None,None,0,1,0,2,5 to 10 Year Old,0,1,0,0,0,0,0,25000,60000,0.0,35181.0
10,2,2,0.0,Semifurnished,Family Only,"On Request, Bibwewadi Kondhwa Road, , Pune, Maharashtra",3,South-East,Not provided,Yes,No,1,None,None,0,1,0,0,10+ Year Old,1,0,0,0,0,0,0,17000,50000,0.0,15311.0
11,2,2,1000.0,Unfurnished,All,"Supriya Gardens, Aundh, , Pune, Maharashtra",2,North-East,Mosaic,Yes,Yes,1,None,None,24,1,0,0,10+ Year Old,1,0,0,0,0,0,0,0,50000,0.0,19456.0
12,3,3,1500.0,Semifurnished,All,"Erande Arora Residency, Kharadi, , Pune, Maharashtra",1,East,Not provided,Yes,No,1,None,Yes,0,1,0,2,5 to 10 Year Old,1,0,0,0,0,0,0,0,50000,0.0,38870.0
13,2,2,0.0,Unfurnished,All,"SBM West Wind Park, Hinjewadi, , Pune, Maharashtra",2,No Direction,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,50000,0.0,13779.0
14,1,1,0.0,Unfurnished,Family Only,"On Request, Bibwewadi, , Pune, Maharashtra",0,West,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,20000,0.0,3571.0
15,1,1,0.0,Unfurnished,Family Only,"Sai vilasita Apartment wakad, Bhumkar Nagar, , Pune, Maharashtra",1,No Direction,Not provided,Yes,No,0,None,None,0,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,0,0,25000,0.0,7145.0
16,1,1,0.0,Unfurnished,All,"maurya housing society, Pimpri Chinchwad, , Pune, Maharashtra",1,No Direction,Not provided,Yes,No,0,None,None,0,0,0,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,20000,0.0,4166.0
17,1,1,445.0,Semifurnished,All,"Puraniks Aldea, Baner, , Pune, Maharashtra",1,East,Vitrified,Yes,No,1,None,Yes,11,1,1,1,0 to 1 Year Old,0,0,0,1,0,0,Maintenance 1/ (/ month,15000,50000,1.0,9562.0
18,2,2,836.0,Unfurnished,All,"Anita Residency, Katraj Kondhwa Road, , Pune, Maharashtra",8,North-East,Not provided,Yes,Yes,0,None,None,12,2,0,0,10+ Year Old,1,0,0,0,0,0,0,0,72000,0.0,12249.0
19,1,2,590.0,Semifurnished,Family Only,"Geeta Golden Palms, Bhukum, , Pune, Maharashtra",6,No Direction,Ceramic,Yes,No,1,None,None,0,0,1,2,0 to 1 Year Old,1,0,0,0,0,0,0,0,0,0.0,7718.0
